Product Name,Current Price
EarPods Lightning Connector,"KSh 4,200"
Apple MagSafe Battery Pack,"KSh 17,000"
Macbook Air 13-inch M1 chip,"KSh 90,000"
Apple USB-C to Lightning Cable 1m,"KSh 2,000"
USB-C to Lightning Cable (2m),"KSh 5,000"
Airpods Max,"KSh 63,000 - KSh 73,000"
HomePod mini,"KSh 17,000"
MagSafe Charger,"KSh 6,800"
Apple Pencil (2nd Generation),"KSh 14,600"
Apple iPhone X,"KSh 25,500"
